frame.number,frame.time,frame.time_delta,frame.len,mac-lte.rnti,mac-lte.direction
320,Aug 13 2019 20:31:02.172313000 MST,0.005117000,1707,70,0
321,Aug 13 2019 20:31:02.173367000 MST,0.001054000,1707,70,0
322,Aug 13 2019 20:31:02.176276000 MST,0.002909000,72,70,1
323,Aug 13 2019 20:31:02.177111000 MST,0.000835000,72,70,1
324,Aug 13 2019 20:31:02.214264000 MST,0.037153000,548,70,0
325,Aug 13 2019 20:31:02.266265000 MST,0.052001000,72,70,1
326,Aug 13 2019 20:31:02.477230000 MST,0.210965000,284,70,1
327,Aug 13 2019 20:31:02.478226000 MST,0.000996000,148,70,1
328,Aug 13 2019 20:31:02.514381000 MST,0.036155000,548,70,0
329,Aug 13 2019 20:31:03.414234000 MST,0.899853000,548,70,0
330,Aug 13 2019 20:31:03.482128000 MST,0.067894000,232,70,1
331,Aug 13 2019 20:31:03.483191000 MST,0.001063000,176,70,1
332,Aug 13 2019 20:31:03.514339000 MST,0.031148000,532,70,0
333,Aug 13 2019 20:31:03.523297000 MST,0.008958000,41,70,0
334,Aug 13 2019 20:31:03.532199000 MST,0.008902000,324,70,0
335,Aug 13 2019 20:31:03.596236000 MST,0.064037000,72,70,1
336,Aug 13 2019 20:31:04.674339000 MST,1.078103000,532,70,0
337,Aug 13 2019 20:31:04.738153000 MST,0.063814000,78,70,1
338,Aug 13 2019 20:31:04.769203000 MST,0.031050000,200,70,1
339,Aug 13 2019 20:31:04.794265000 MST,0.025062000,548,70,0
340,Aug 13 2019 20:31:04.903161000 MST,0.108896000,72,70,1
341,Aug 13 2019 20:31:08.814293000 MST,3.911132000,548,70,0
342,Aug 13 2019 20:31:08.878119000 MST,0.063826000,232,70,1
343,Aug 13 2019 20:31:08.974166000 MST,0.096047000,548,70,0
344,Aug 13 2019 20:31:27.974256000 MST,19.000090000,532,70,0
345,Aug 13 2019 20:31:28.038049000 MST,0.063793000,176,70,1
346,Aug 13 2019 20:31:28.074107000 MST,0.036058000,548,70,0
347,Aug 13 2019 20:31:28.214111000 MST,0.140004000,548,70,0
348,Aug 13 2019 20:31:28.283050000 MST,0.068939000,176,70,1
349,Aug 13 2019 20:31:28.314167000 MST,0.031117000,548,70,0
350,Aug 13 2019 20:31:28.419180000 MST,0.105013000,72,70,1
351,Aug 13 2019 20:31:32.314148000 MST,3.894968000,532,70,0
352,Aug 13 2019 20:31:32.378141000 MST,0.063993000,72,70,1
353,Aug 13 2019 20:31:32.379027000 MST,0.000886000,176,70,1
354,Aug 13 2019 20:31:32.454131000 MST,0.075104000,548,70,0
355,Aug 13 2019 20:31:32.634045000 MST,0.179914000,548,70,0
356,Aug 13 2019 20:31:32.646106000 MST,0.012061000,72,70,1
357,Aug 13 2019 20:31:32.774038000 MST,0.127932000,548,70,0
358,Aug 13 2019 20:31:32.838080000 MST,0.064042000,72,70,1
359,Aug 13 2019 20:31:32.840027000 MST,0.001947000,78,70,1
360,Aug 13 2019 20:31:32.857035000 MST,0.017008000,200,70,1
361,Aug 13 2019 20:31:32.874133000 MST,0.017098000,548,70,0
362,Aug 13 2019 20:31:32.983069000 MST,0.108936000,72,70,1
363,Aug 13 2019 20:31:41.354004000 MST,8.370935000,548,70,0
364,Aug 13 2019 20:31:41.355019000 MST,0.001015000,64,70,1
365,Aug 13 2019 20:31:41.374052000 MST,0.019033000,548,70,0
366,Aug 13 2019 20:31:41.386957000 MST,0.012905000,64,70,1
367,Aug 13 2019 20:31:41.397956000 MST,0.010999000,64,70,1
368,Aug 13 2019 20:31:41.403099000 MST,0.005143000,108,70,1
369,Aug 13 2019 20:31:41.425135000 MST,0.022036000,2067,70,1
370,Aug 13 2019 20:31:41.426035000 MST,0.000900000,1110,70,1
371,Aug 13 2019 20:31:41.454114000 MST,0.028079000,548,70,0
372,Aug 13 2019 20:31:41.474156000 MST,0.020042000,548,70,0
373,Aug 13 2019 20:31:41.487041000 MST,0.012885000,356,70,1
374,Aug 13 2019 20:31:41.514077000 MST,0.027036000,548,70,0
375,Aug 13 2019 20:31:41.523206000 MST,0.009129000,886,70,0
376,Aug 13 2019 20:31:41.537098000 MST,0.013892000,764,70,1
377,Aug 13 2019 20:31:41.538013000 MST,0.000915000,388,70,1
378,Aug 13 2019 20:31:41.562093000 MST,0.024080000,164,70,1
379,Aug 13 2019 20:31:41.572025000 MST,0.009932000,340,70,1
380,Aug 13 2019 20:31:41.574052000 MST,0.002027000,548,70,0
381,Aug 13 2019 20:31:41.594090000 MST,0.020038000,548,70,0
